 Line  Address  Opcode               Disassembly              
   183   0B6     1207  BCF 0x7, 0x4                           
   184   0B7     0A84  INCF 0x4, F                            
   185   0B8     0800  MOVF 0, W                              
   186   0B9     025C  SUBWF 0x5c, W                          
   187   0BA     1C03  BTFSS 0x3, 0                           
   188   0BB     1687  BSF 0x7, 0x5                           
   189   0BC     1803  BTFSC 0x3, 0                           
   190   0BD     1287  BCF 0x7, 0x5                           
   191   0BE     0A84  INCF 0x4, F                            
   192   0BF     3010  MOVLW 0x10                             
   193   0C0     02DC  SUBWF 0x5c, F                          
   194   0C1     303F  MOVLW 0x3f                             
   195   0C2     05DC  ANDWF 0x5c, F                          
   196   0C3     0800  MOVF 0, W                              
   197   0C4     025C  SUBWF 0x5c, W                          
   198   0C5     1C03  BTFSS 0x3, 0                           
   199   0C6     1587  BSF 0x7, 0x3                           
   200   0C7     1803  BTFSC 0x3, 0                           
   201   0C8     1187  BCF 0x7, 0x3                           
   202   0C9     0A84  INCF 0x4, F                            
   203   0CA     0800  MOVF 0, W                              
   204   0CB     025C  SUBWF 0x5c, W                          
   205   0CC     1C03  BTFSS 0x3, 0                           
   206   0CD     1507  BSF 0x7, 0x2                           
   207   0CE     1803  BTFSC 0x3, 0                           
   208   0CF     1107  BCF 0x7, 0x2                           
   209   0D0     0A84  INCF 0x4, F                            
   210   0D1     0800  MOVF 0, W                              
   211   0D2     025C  SUBWF 0x5c, W                          
   212   0D3     1C03  BTFSS 0x3, 0                           
   213   0D4     1487  BSF 0x7, 0x1                           
   214   0D5     1803  BTFSC 0x3, 0                           
   215   0D6     1087  BCF 0x7, 0x1                           
   216   0D7     0A84  INCF 0x4, F                            
   217   0D8     3010  MOVLW 0x10                             
   218   0D9     02DC  SUBWF 0x5c, F                          
   219   0DA     303F  MOVLW 0x3f                             
   220   0DB     05DC  ANDWF 0x5c, F                          
   221   0DC     0ADB  INCF 0x5b, F                           
   222   0DD     1B5B  BTFSC 0x5b, 0x6                        
   223   0DE     01DB  CLRF 0x5b                              
   224   0DF     0008  RETURN                                 
   225   0E0     1683  BSF 0x3, 0x5                           
   226   0E1     1303  BCF 0x3, 0x6                           
   227   0E2     3024  MOVLW 0x24                             
   228   0E3     0098  MOVWF 0x18                             
   229   0E4     1283  BCF 0x3, 0x5                           
   230   0E5     1303  BCF 0x3, 0x6                           
   231   0E6     3090  MOVLW 0x90                             
   232   0E7     0098  MOVWF 0x18                             
   233   0E8     1683  BSF 0x3, 0x5                           
   234   0E9     1703  BSF 0x3, 0x6                           
   235   0EA     3008  MOVLW 0x8                              
   236   0EB     0087  MOVWF 0x7                              
   237   0EC     1683  BSF 0x3, 0x5                           
   238   0ED     1303  BCF 0x3, 0x6                           
   239   0EE     301F  MOVLW 0x1f                             
   240   0EF     0099  MOVWF 0x19                             
   241   0F0     1683  BSF 0x3, 0x5                           
   242   0F1     1303  BCF 0x3, 0x6                           
   243   0F2     3000  MOVLW 0                                
   244   0F3     009A  MOVWF 0x1a                             
   245   0F4     1683  BSF 0x3, 0x5                           
   246   0F5     1303  BCF 0x3, 0x6                           
   247   0F6     128C  BCF 0xc, 0x5                           
   248   0F7     1283  BCF 0x3, 0x5                           
   249   0F8     1303  BCF 0x3, 0x6                           
   250   0F9     01A3  CLRF 0x23                              
   251   0FA     01A4  CLRF 0x24                              
   252   0FB     01A5  CLRF 0x25                              
   253   0FC     01A6  CLRF 0x26                              
   254   0FD     01A7  CLRF 0x27                              
   255   0FE     01A8  CLRF 0x28                              
   256   0FF     01A9  CLRF 0x29                              
   257   100     01AA  CLRF 0x2a                              
   258   101     0008  RETURN                                 
   259   102     081A  MOVF 0x1a, W                           
   260   103     00A3  MOVWF 0x23                             
   261   104     3907  ANDLW 0x7                              
   262   105     00A6  MOVWF 0x26                             
   263   106     0E23  SWAPF 0x23, W                          
   264   107     390F  ANDLW 0xf                              
   265   108     00A5  MOVWF 0x25                             
   266   109     30F5  MOVLW 0xf5                             
   267   10A     0623  XORWF 0x23, W                          
   268   10B     1D03  BTFSS 0x3, 0x2                         
   269   10C     290F  GOTO 0x10f                             
   270   10D     14AA  BSF 0x2a, 0x1                          
   271   10E     0008  RETURN                                 
   272   10F     3000  MOVLW 0                                
   273   110     0624  XORWF 0x24, W                          
   274   111     1903  BTFSC 0x3, 0x2                         
   275   112     291D  GOTO 0x11d                             
   276   113     3001  MOVLW 0x1                              
   277   114     0624  XORWF 0x24, W                          
   278   115     1903  BTFSC 0x3, 0x2                         
   279   116     2925  GOTO 0x125                             
   280   117     3002  MOVLW 0x2                              
   281   118     0624  XORWF 0x24, W                          
   282   119     1903  BTFSC 0x3, 0x2                         
   283   11A     2943  GOTO 0x143                             
   284   11B     01A4  CLRF 0x24                              
   285   11C     0008  RETURN                                 
   286   11D     30F0  MOVLW 0xf0                             
   287   11E     0623  XORWF 0x23, W                          
   288   11F     1D03  BTFSS 0x3, 0x2                         
   289   120     0008  RETURN                                 
   290   121     142A  BSF 0x2a, 0                            
   291   122     3001  MOVLW 0x1                              
   292   123     00A4  MOVWF 0x24                             
   293   124     0008  RETURN                                 
   294   125     300E  MOVLW 0xe                              
   295   126     0625  XORWF 0x25, W                          
   296   127     1903  BTFSC 0x3, 0x2                         
   297   128     292E  GOTO 0x12e                             
   298   129     300C  MOVLW 0xc                              
   299   12A     0225  SUBWF 0x25, W                          
   300   12B     1C03  BTFSS 0x3, 0                           
   301   12C     2932  GOTO 0x132                             
   302   12D     0008  RETURN                                 
   303   12E     3002  MOVLW 0x2                              
   304   12F     00A4  MOVWF 0x24                             
   305   130     01A8  CLRF 0x28                              
   306   131     0008  RETURN                                 
   307   132     0825  MOVF 0x25, W                           
   308   133     2025  CALL 0x25                              
   309   134     0726  ADDWF 0x26, W                          
   310   135     0084  MOVWF 0x4                              
   311   136     0800  MOVF 0, W                              
   312   137     00A7  MOVWF 0x27                             
   313   138     3043  MOVLW 0x43                             
   314   139     0725  ADDWF 0x25, W                          
   315   13A     0084  MOVWF 0x4                              
   316   13B     0827  MOVF 0x27, W                           
   317   13C     0080  MOVWF 0                                
   318   13D     304F  MOVLW 0x4f                             
   319   13E     0725  ADDWF 0x25, W                          
   320   13F     0084  MOVWF 0x4                              
   321   140     0826  MOVF 0x26, W                           
   322   141     0080  MOVWF 0                                
   323   142     0008  RETURN                                 
   324   143     300F  MOVLW 0xf                              
   325   144     0625  XORWF 0x25, W                          
   326   145     1903  BTFSC 0x3, 0x2                         
   327   146     2954  GOTO 0x154                             
   328   147     302B  MOVLW 0x2b                             
   329   148     0084  MOVWF 0x4                              
   330   149     0828  MOVF 0x28, W                           
   331   14A     0784  ADDWF 0x4, F                           
   332   14B     0823  MOVF 0x23, W                           
   333   14C     397F  ANDLW 0x7f                             
   334   14D     0080  MOVWF 0                                
   335   14E     0AA8  INCF 0x28, F                           
   336   14F     3018  MOVLW 0x18                             
   337   150     0228  SUBWF 0x28, W                          
   338   151     1803  BTFSC 0x3, 0                           
   339   152     2954  GOTO 0x154                             
   340   153     0008  RETURN                                 
   341   154     3001  MOVLW 0x1                              
   342   155     00A4  MOVWF 0x24                             
   343   156     2958  GOTO 0x158                             
   344   157     0008  RETURN                                 
   345   158     3000  MOVLW 0                                
   346   159     00A1  MOVWF 0x21                             
   347   15A     304F  MOVLW 0x4f                             
   348   15B     0721  ADDWF 0x21, W                          
   349   15C     0084  MOVWF 0x4                              
   350   15D     0821  MOVF 0x21, W                           
   351   15E     2025  CALL 0x25                              
   352   15F     0700  ADDWF 0, W                             
   353   160     0084  MOVWF 0x4                              
   354   161     0800  MOVF 0, W                              
   355   162     00A2  MOVWF 0x22                             
   356   163     3043  MOVLW 0x43                             
   357   164     0721  ADDWF 0x21, W                          
   358   165     0084  MOVWF 0x4                              
   359   166     0822  MOVF 0x22, W                           
   360   167     0080  MOVWF 0                                
   361   168     0AA1  INCF 0x21, F                           
   362   169     300C  MOVLW 0xc                              
   363   16A     0221  SUBWF 0x21, W                          
   364   16B     1C03  BTFSS 0x3, 0                           
   365   16C     295A  GOTO 0x15a                             
   366   16D     0008  RETURN                                 
   367   16E     1E0C  BTFSS 0xc, 0x4                         
   368   16F     0008  RETURN                                 
   369   170     182A  BTFSC 0x2a, 0                          
   370   171     2975  GOTO 0x175                             
   371   172     18AA  BTFSC 0x2a, 0x1                        
   372   173     2991  GOTO 0x191                             
   373   174     0008  RETURN                                 
   374   175     102A  BCF 0x2a, 0                            
   375   176     3000  MOVLW 0                                
   376   177     21CE  CALL 0x1ce                             
   377   178     0099  MOVWF 0x19                             
   378   179     0000  NOP                                    
   379   17A     0000  NOP                                    
   380   17B     1E0C  BTFSS 0xc, 0x4                         
   381   17C     297B  GOTO 0x17b                             
   382   17D     3001  MOVLW 0x1                              
   383   17E     21CE  CALL 0x1ce                             
   384   17F     0099  MOVWF 0x19                             
   385   180     0000  NOP                                    
   386   181     0000  NOP                                    
   387   182     1E0C  BTFSS 0xc, 0x4                         
   388   183     2982  GOTO 0x182                             
   389   184     3002  MOVLW 0x2                              
   390   185     21CE  CALL 0x1ce                             
   391   186     0099  MOVWF 0x19                             
   392   187     0000  NOP                                    
   393   188     0000  NOP                                    
   394   189     1E0C  BTFSS 0xc, 0x4                         
   395   18A     2989  GOTO 0x189                             
   396   18B     3003  MOVLW 0x3                              
   397   18C     21CE  CALL 0x1ce                             
   398   18D     0099  MOVWF 0x19                             
   399   18E     0000  NOP                                    
   400   18F     0000  NOP                                    
   401   190     0008  RETURN                                 
   402   191     10AA  BCF 0x2a, 0x1                          
   403   192     3041  MOVLW 0x41                             
   404   193     0724  ADDWF 0x24, W                          
   405   194     0099  MOVWF 0x19                             
   406   195     0008  RETURN                                 
   407   196     0064  CLRWDT                                 
   408   197     1283  BCF 0x3, 0x5                           
   409   198     1303  BCF 0x3, 0x6                           
   410   199     0185  CLRF 0x5                               
   411   19A     0186  CLRF 0x6                               
   412   19B     0187  CLRF 0x7                               
   413   19C     1683  BSF 0x3, 0x5                           
   414   19D     1303  BCF 0x3, 0x6                           
   415   19E     0185  CLRF 0x5                               
   416   19F     30FF  MOVLW 0xff                             
   417   1A0     0086  MOVWF 0x6                              
   418   1A1     3080  MOVLW 0x80                             
   419   1A2     0087  MOVWF 0x7                              
   420   1A3     1683  BSF 0x3, 0x5                           
   421   1A4     1703  BSF 0x3, 0x6                           
   422   1A5     0188  CLRF 0x8                               
   423   1A6     0189  CLRF 0x9                               
   424   1A7     1683  BSF 0x3, 0x5                           
   425   1A8     1303  BCF 0x3, 0x6                           
   426   1A9     3000  MOVLW 0                                
   427   1AA     0081  MOVWF 0x1                              
   428   1AB     1283  BCF 0x3, 0x5                           
   429   1AC     1303  BCF 0x3, 0x6                           
   430   1AD     3088  MOVLW 0x88                             
   431   1AE     0081  MOVWF 0x1                              
   432   1AF     110B  BCF 0xb, 0x2                           
   433   1B0     168B  BSF 0xb, 0x5                           
   434   1B1     1283  BCF 0x3, 0x5                           
   435   1B2     1303  BCF 0x3, 0x6                           
   436   1B3     01A0  CLRF 0x20                              
   437   1B4     20E0  CALL 0xe0                              
   438   1B5     2037  CALL 0x37                              
   439   1B6     170B  BSF 0xb, 0x6                           
   440   1B7     178B  BSF 0xb, 0x7                           
   441   1B8     29B9  GOTO 0x1b9                             
   442   1B9     0064  CLRWDT                                 
   443   1BA     08A0  MOVF 0x20, F                           
   444   1BB     1D03  BTFSS 0x3, 0x2                         
   445   1BC     29C9  GOTO 0x1c9                             
   446   1BD     309C  MOVLW 0x9c                             
   447   1BE     00A0  MOVWF 0x20                             
   448   1BF     3000  MOVLW 0                                
   449   1C0     0624  XORWF 0x24, W                          
   450   1C1     1D03  BTFSS 0x3, 0x2                         
   451   1C2     29C9  GOTO 0x1c9                             
   452   1C3     0000  NOP                                    
   453   1C4     3055  MOVLW 0x55                             
   454   1C5     1E0C  BTFSS 0xc, 0x4                         
   455   1C6     29C9  GOTO 0x1c9                             
   456   1C7     0099  MOVWF 0x19                             
   457   1C8     0000  NOP                                    
   458   1C9     1283  BCF 0x3, 0x5                           
   459   1CA     1303  BCF 0x3, 0x6                           
   460   1CB     216E  CALL 0x16e                             
   461   1CC     29B9  GOTO 0x1b9                             
   462   1CD     29B9  GOTO 0x1b9                             
   463   1CE     1283  BCF 0x3, 0x5                           
   464   1CF     1703  BSF 0x3, 0x6                           
   465   1D0     008D  MOVWF 0xd                              
   466   1D1     1683  BSF 0x3, 0x5                           
   467   1D2     1703  BSF 0x3, 0x6                           
   468   1D3     138C  BCF 0xc, 0x7                           
   469   1D4     140C  BSF 0xc, 0                             
   470   1D5     1283  BCF 0x3, 0x5                           
   471   1D6     1703  BSF 0x3, 0x6                           
   472   1D7     080C  MOVF 0xc, W                            
   473   1D8     1283  BCF 0x3, 0x5                           
   474   1D9     1303  BCF 0x3, 0x6                           
   475   1DA     0008  RETURN                                 
   476   1DB     3FFF                                         
   477   1DC     3FFF                                         
   478   1DD     3FFF                                         
   479   1DE     3FFF                                         
   480   1DF     3FFF                                         
   481   1E0     3FFF                                         
   482   1E1     3FFF                                         
   483   1E2     3FFF                                         
   484   1E3     3FFF                                         
   485   1E4     3FFF                                         
   486   1E5     3FFF                                         
   487   1E6     3FFF                                         
   488   1E7     3FFF                                         
   489   1E8     3FFF                                         
   490   1E9     3FFF                                         
   491   1EA     3FFF                                         
   492   1EB     3FFF                                         
   493   1EC     3FFF                                         
   494   1ED     3FFF                                         
   495   1EE     3FFF                                         
   496   1EF     3FFF                                         
   497   1F0     3FFF                                         
   498   1F1     3FFF                                         
   499   1F2     3FFF                                         
   500   1F3     3FFF                                         
   501   1F4     3FFF                                         
   502   1F5     3FFF                                         
   503   1F6     3FFF                                         
   504   1F7     3FFF                                         
   505   1F8     3FFF                                         
   506   1F9     3FFF                                         
   507   1FA     3FFF                                         
   508   1FB     3FFF                                         
   509   1FC     3FFF                                         
   510   1FD     3FFF                                         
   511   1FE     3FFF                                         
   512   1FF     3FFF                                         
   513   200     3FFF                                         
   514   201     3FFF                                         
   515   202     3FFF                                         
   516   203     3FFF                                         
   517   204     3FFF                                         
   518   205     3FFF                                         
   519   206     3FFF                                         
   520   207     3FFF                                         
   521   208     3FFF                                         
   522   209     3FFF                                         
   523   20A     3FFF                                         
   524   20B     3FFF                                         
   525   20C     3FFF                                         
   526   20D     3FFF                                         
   527   20E     3FFF                                         
   528   20F     3FFF                                         
   529   210     3FFF                                         
   530   211     3FFF                                         
   531   212     3FFF                                         
   532   213     3FFF                                         
   533   214     3FFF                                         
   534   215     3FFF                                         
   535   216     3FFF                                         
   536   217     3FFF                                         
   537   218     3FFF                                         
   538   219     3FFF                                         
   539   21A     3FFF                                         
   540   21B     3FFF                                         
   541   21C     3FFF                                         
   542   21D     3FFF                                         
   543   21E     3FFF                                         
   544   21F     3FFF                                         
   545   220     3FFF                                         
   546   221     3FFF                                         
   547   222     3FFF                                         
   548   223     3FFF                                         
   549   224     3FFF                                         
   550   225     3FFF                                         
   551   226     3FFF                                         
   552   227     3FFF                                         
   553   228     3FFF                                         
   554   229     3FFF                                         
   555   22A     3FFF                                         
   556   22B     3FFF                                         
   557   22C     3FFF                                         
   558   22D     3FFF                                         
   559   22E     3FFF                                         
   560   22F     3FFF                                         
   561   230     3FFF                                         
   562   231     3FFF                                         
   563   232     3FFF                                         
   564   233     3FFF                                         
   565   234     3FFF                                         
   566   235     3FFF                                         
   567   236     3FFF                                         
   568   237     3FFF                                         
   569   238     3FFF                                         
   570   239     3FFF                                         
   571   23A     3FFF                                         
   572   23B     3FFF                                         
   573   23C     3FFF                                         
   574   23D     3FFF                                         
   575   23E     3FFF                                         
   576   23F     3FFF                                         
   577   240     3FFF                                         
   578   241     3FFF                                         
   579   242     3FFF                                         
   580   243     3FFF                                         
   581   244     3FFF                                         
   582   245     3FFF                                         
   583   246     3FFF                                         
   584   247     3FFF                                         
   585   248     3FFF                                         
   586   249     3FFF                                         
   587   24A     3FFF                                         
   588   24B     3FFF                                         
   589   24C     3FFF                                         
   590   24D     3FFF                                         
   591   24E     3FFF                                         
   592   24F     3FFF                                         
   593   250     3FFF                                         
   594   251     3FFF                                         
   595   252     3FFF                                         
   596   253     3FFF                                         
   597   254     3FFF                                         
   598   255     3FFF                                         
   599   256     3FFF                                         
   600   257     3FFF                                         
   601   258     3FFF                                         
   602   259     3FFF                                         
   603   25A     3FFF                                         
   604   25B     3FFF                                         
   605   25C     3FFF                                         
   606   25D     3FFF                                         
   607   25E     3FFF                                         
   608   25F     3FFF                                         
   609   260     3FFF                                         
   610   261     3FFF                                         
   611   262     3FFF                                         
   612   263     3FFF                                         
   613   264     3FFF                                         
   614   265     3FFF                                         
   615   266     3FFF                                         
   616   267     3FFF                                         
   617   268     3FFF                                         
   618   269     3FFF                                         
   619   26A     3FFF                                         
   620   26B     3FFF                                         
   621   26C     3FFF                                         
   622   26D     3FFF                                         
   623   26E     3FFF                                         
   624   26F     3FFF                                         
   625   270     3FFF                                         
   626   271     3FFF                                         
   627   272     3FFF                                         
   628   273     3FFF                                         
   629   274     3FFF                                         
   630   275     3FFF                                         
   631   276     3FFF                                         
   632   277     3FFF                                         
   633   278     3FFF                                         
   634   279     3FFF                                         
   635   27A     3FFF                                         
   636   27B     3FFF                                         
   637   27C     3FFF                                         
   638   27D     3FFF                                         
   639   27E     3FFF                                         
   640   27F     3FFF                                         
   641   280     3FFF                                         
   642   281     3FFF                                         
   643   282     3FFF                                         
   644   283     3FFF                                         
   645   284     3FFF                                         
   646   285     3FFF                                         
   647   286     3FFF                                         
   648   287     3FFF                                         
   649   288     3FFF                                         
   650   289     3FFF                                         
   651   28A     3FFF                                         
   652   28B     3FFF                                         
   653   28C     3FFF                                         
   654   28D     3FFF                                         
   655   28E     3FFF                                         
   656   28F     3FFF                                         
   657   290     3FFF                                         
   658   291     3FFF                                         
   659   292     3FFF                                         
   660   293     3FFF                                         
   661   294     3FFF                                         
   662   295     3FFF                                         
   663   296     3FFF                                         
   664   297     3FFF                                         
   665   298     3FFF                                         
   666   299     3FFF                                         
   667   29A     3FFF                                         
   668   29B     3FFF                                         
   669   29C     3FFF                                         
   670   29D     3FFF                                         
   671   29E     3FFF                                         
   672   29F     3FFF                                         
   673   2A0     3FFF                                         
   674   2A1     3FFF                                         
   675   2A2     3FFF                                         
   676   2A3     3FFF                                         
   677   2A4     3FFF                                         
   678   2A5     3FFF                                         
   679   2A6     3FFF                                         
   680   2A7     3FFF                                         
   681   2A8     3FFF                                         
   682   2A9     3FFF                                         
   683   2AA     3FFF                                         
   684   2AB     3FFF                                         
   685   2AC     3FFF                                         
   686   2AD     3FFF                                         
   687   2AE     3FFF                                         
   688   2AF     3FFF                                         
   689   2B0     3FFF                                         
   690   2B1     3FFF                                         
   691   2B2     3FFF                                         
   692   2B3     3FFF                                         
   693   2B4     3FFF                                         
   694   2B5     3FFF                                         
   695   2B6     3FFF                                         
   696   2B7     3FFF                                         
   697   2B8     3FFF                                         
   698   2B9     3FFF                                         
   699   2BA     3FFF                                         
   700   2BB     3FFF                                         
   701   2BC     3FFF                                         
   702   2BD     3FFF                                         
   703   2BE     3FFF                                         
   704   2BF     3FFF                                         
   705   2C0     3FFF                                         
   706   2C1     3FFF                                         
   707   2C2     3FFF                                         
   708   2C3     3FFF                                         
   709   2C4     3FFF                                         
   710   2C5     3FFF                                         
   711   2C6     3FFF                                         
   712   2C7     3FFF                                         
   713   2C8     3FFF                                         
   714   2C9     3FFF                                         
   715   2CA     3FFF                                         
   716   2CB     3FFF                                         
   717   2CC     3FFF                                         
   718   2CD     3FFF                                         
   719   2CE     3FFF                                         
   720   2CF     3FFF                                         
   721   2D0     3FFF                                         
   722   2D1     3FFF                                         
   723   2D2     3FFF                                         
   724   2D3     3FFF                                         
   725   2D4     3FFF                                         
   726   2D5     3FFF                                         
   727   2D6     3FFF                                         
   728   2D7     3FFF                                         
   729   2D8     3FFF                                         
